iter	RMSE
0	56417.20043
1	55689.06643
2	55014.13128
3	54315.88417
4	53719.74592
5	53068.45807
6	52539.22143
7	52082.66763
8	51587.13464
9	51105.27849
10	50605.0315
11	50189.13605
12	49778.72682
13	49416.94559
14	49113.96334
15	48777.5921
16	48443.5426
17	48141.03943
18	47829.70964
19	47601.10895
20	47381.6649
21	47231.03526
22	46941.36179
23	46574.01949
24	46242.00302
25	46053.91761
26	45795.59371
27	45620.1454
28	45321.7583
29	45137.45743
30	44994.93776
31	44775.85045
32	44665.77256
33	44510.8058
34	44352.14861
35	44214.83814
36	44013.67934
37	43899.77731
38	43788.89882
39	43656.01334
40	43471.64941
41	43366.96385
42	43247.8424
43	43157.14803
44	42996.30078
45	42862.36105
46	42759.28872
47	42703.33004
48	42567.00539
49	42478.68056
50	42405.5683
51	42254.14612
52	42114.93418
53	41971.32843
54	41895.78794
55	41853.11256
56	41734.70813
57	41629.90453
58	41573.91352
59	41478.86779
60	41415.34027
61	41353.9701
62	41277.74084
63	41225.5717
64	41116.96278
65	41046.26289
66	40951.98791
67	40902.6148
68	40882.19825
69	40821.03937
70	40787.5582
71	40703.64185
72	40659.87079
73	40627.59032
74	40602.47187
75	40534.54977
76	40504.29936
77	40399.04189
78	40301.61638
79	40209.09844
80	40158.07419
81	40108.47974
82	40037.40668
83	40004.95481
84	39972.70295
85	39935.79001
86	39914.26204
87	39859.39309
88	39815.52952
89	39786.94385
90	39756.65479
91	39729.45162
92	39636.31242
93	39588.73918
94	39530.4328
95	39503.54062
96	39453.61007
97	39397.45115
98	39364.47915
99	39344.44542
100	39301.30141
101	39244.42096
102	39216.23496
103	39188.61154
104	39140.36241
105	39117.15143
106	39080.28596
107	39002.95434
108	38986.52378
109	38970.1493
110	38892.06652
111	38866.75503
112	38834.91051
113	38791.61985
114	38771.9525
115	38723.13659
116	38702.39701
117	38659.41816
118	38596.38149
119	38504.09176
120	38453.64757
121	38405.64907
122	38355.67894
123	38312.54335
124	38289.94603
125	38263.32023
126	38216.81035
127	38189.97344
128	38183.14842
129	38140.20157
130	38108.12255
131	38067.5614
132	38036.701
133	38015.01707
134	37924.05823
135	37862.4041
136	37833.2394
137	37801.35524
138	37784.84013
139	37724.82001
140	37677.41674
141	37642.09624
142	37613.97122
143	37563.58721
144	37545.91954
145	37512.08358
146	37481.21054
147	37431.11782
148	37408.39819
149	37392.20584
150	37338.98893
151	37299.09237
152	37259.53932
153	37233.94985
154	37195.82291
155	37141.83189
156	37093.55385
157	37063.18919
158	37039.5008
159	36999.89953
160	36978.51419
161	36912.23035
162	36885.25746
163	36842.77529
164	36819.33979
165	36750.86925
166	36722.54079
167	36659.92338
168	36644.06494
169	36606.14646
170	36569.34951
171	36527.23644
172	36491.24789
173	36463.77873
174	36438.94232
175	36424.48352
176	36404.11299
177	36377.32144
178	36350.18632
179	36325.9319
180	36277.64261
181	36243.45359
182	36233.73912
183	36192.89046
184	36156.55806
185	36105.47824
186	36088.40776
187	36052.64533
188	36036.81247
189	35962.57866
190	35917.12712
191	35885.95992
192	35848.49169
193	35836.84708
194	35827.44019
195	35772.942
196	35746.83795
197	35728.8853
198	35703.26856
199	35666.69545
200	35638.26781
201	35615.38205
202	35587.90056
203	35544.30053
204	35529.23108
205	35511.34351
206	35484.111
207	35463.82776
208	35442.43144
209	35422.3411
210	35399.11663
211	35376.29875
212	35359.31443
213	35343.50541
214	35323.78378
215	35310.54685
216	35276.53606
217	35261.13029
218	35227.96232
219	35218.31452
220	35185.14252
221	35166.17832
222	35148.84286
223	35106.53174
224	35085.55912
225	35071.515
226	35039.32952
227	35008.41503
228	34948.04281
229	34908.78814
230	34869.40336
231	34843.34299
232	34810.97779
233	34794.51506
234	34780.63083
235	34766.30881
236	34731.23622
237	34710.18309
238	34687.40719
239	34665.95929
240	34622.88166
241	34611.04125
242	34600.85876
243	34576.06804
244	34564.24797
245	34530.98905
246	34508.13189
247	34489.66637
248	34461.62832
249	34421.67279
250	34389.85897
251	34369.77176
252	34347.28446
253	34318.40154
254	34294.47357
255	34272.80258
256	34261.42044
257	34243.10354
258	34229.23936
259	34200.40276
260	34190.20635
261	34172.12134
262	34151.64122
263	34141.37122
264	34129.10926
265	34088.62962
266	34064.03675
267	34055.19143
268	34036.37314
269	34015.5538
270	34002.10817
271	33983.68249
272	33951.35222
273	33942.57735
274	33910.67567
275	33904.19557
276	33883.32399
277	33857.86368
278	33840.39896
279	33819.84622
280	33797.6422
281	33783.27336
282	33760.35491
283	33751.33606
284	33734.76378
285	33708.9607
286	33700.59039
287	33671.07382
288	33643.15493
289	33614.55979
290	33607.04103
291	33568.32086
292	33553.00299
293	33532.43347
294	33491.25042
295	33463.78141
296	33443.76614
297	33433.3208
298	33406.00942
299	33385.35183
300	33372.84703
301	33314.80994
302	33292.71327
303	33274.40744
304	33254.20602
305	33215.51422
306	33196.59004
307	33177.59989
308	33161.0501
309	33135.12628
310	33110.10595
311	33074.45853
312	33053.17668
313	33038.35104
314	33029.59315
315	33010.98444
316	32986.93746
317	32963.9741
318	32946.15039
319	32927.95177
320	32909.04963
321	32901.65003
322	32891.57431
323	32868.41695
324	32845.3978
325	32812.74733
326	32791.73247
327	32765.5542
328	32741.16087
329	32728.70202
330	32716.11262
331	32698.19712
332	32666.02877
333	32642.9024
334	32622.73448
335	32604.2807
336	32596.41849
337	32578.09635
338	32556.37486
339	32537.88235
340	32526.80833
341	32500.89309
342	32473.38444
343	32452.2367
344	32441.73969
345	32408.97813
346	32407.73759
347	32386.85937
348	32360.77331
349	32351.51208
350	32343.12017
351	32326.65593
352	32298.24898
353	32284.26144
354	32271.26368
355	32254.40212
356	32238.25965
357	32222.16875
358	32204.78002
359	32186.04471
360	32172.3163
361	32170.08241
362	32151.73024
363	32128.20073
364	32123.48827
365	32109.99006
366	32090.30489
367	32069.05643
368	32054.46218
369	32052.38918
370	32051.4097
371	32043.16856
372	32022.40827
373	32007.75342
374	31988.79723
375	31981.14649
376	31977.25433
377	31961.9758
378	31943.40076
379	31926.2674
380	31899.00153
381	31884.19304
382	31874.67297
383	31853.01273
384	31828.18803
385	31811.86227
386	31798.57422
387	31766.99405
388	31751.7025
389	31736.78397
390	31719.53405
391	31688.91678
392	31660.95512
393	31650.81009
394	31629.4494
395	31626.51068
396	31625.59849
397	31624.48917
398	31611.5946
399	31593.98193
400	31578.4734
401	31565.08878
402	31563.66614
403	31547.57869
404	31511.59009
405	31493.15427
406	31481.07211
407	31458.94997
408	31450.82481
409	31430.15996
410	31419.89337
411	31413.32578
412	31411.82524
413	31410.21742
414	31386.15592
415	31368.72178
416	31363.21882
417	31344.7342
418	31329.53706
419	31312.68413
420	31299.08881
421	31278.83491
422	31260.30635
423	31259.32783
424	31237.99119
425	31237.12864
426	31217.61607
427	31216.09772
428	31196.42081
429	31183.36039
430	31168.05094
431	31149.79568
432	31137.96677
433	31127.85964
434	31111.63843
435	31086.5975
436	31065.49406
437	31037.41985
438	31027.71122
439	31020.34929
440	31000.66308
441	30986.31242
442	30984.9018
443	30958.3918
444	30957.30078
445	30937.4837
446	30912.75263
447	30900.17787
448	30886.26155
449	30867.73816
450	30864.05625
451	30845.61709
452	30832.38981
453	30823.21703
454	30799.85439
455	30785.71542
456	30769.16462
457	30743.63306
458	30730.59116
459	30719.05883
460	30707.67004
461	30689.17942
462	30669.65898
463	30652.20746
464	30641.37665
465	30617.52647
466	30595.3224
467	30584.20847
468	30580.80919
469	30565.3854
470	30551.08215
471	30539.74829
472	30531.7578
473	30527.3944
474	30511.23449
475	30502.80839
476	30500.14321
477	30493.39033
478	30470.99893
479	30456.24419
480	30437.00947
481	30416.04604
482	30405.14436
483	30394.46408
484	30369.54198
485	30360.52845
486	30339.27279
487	30326.59152
488	30308.33923
489	30307.9622
490	30295.6111
491	30280.19385
492	30269.19067
493	30251.93411
494	30233.39648
495	30223.94258
496	30206.85474
497	30186.46533
498	30176.2313
499	30174.23734
500	30172.91896
501	30164.85091
502	30149.95932
503	30148.7015
504	30128.8795
505	30118.27789
506	30117.07035
507	30098.63195
508	30084.96159
509	30064.62458
510	30049.44803
511	30048.59058
512	30031.68053
513	30013.02649
514	29995.98566
515	29986.68033
516	29971.50018
517	29958.74004
518	29948.79053
519	29928.1425
520	29917.18196
521	29902.47525
522	29893.66085
523	29873.89089
524	29872.76394
525	29864.62378
526	29854.03215
527	29841.84526
528	29827.63804
529	29814.65189
530	29802.66669
531	29792.12922
532	29783.24915
533	29772.34507
534	29765.77034
535	29739.86772
536	29724.72951
537	29706.24004
538	29689.20609
539	29677.50083
540	29654.55221
541	29643.90618
542	29634.87278
543	29623.94819
544	29597.99687
545	29587.7794
546	29580.25746
547	29559.43005
548	29547.42144
549	29528.79539
550	29514.45435
551	29492.72259
552	29476.95636
553	29459.58748
554	29449.15147
555	29432.18553
556	29415.27591
557	29402.72594
558	29393.2432
559	29384.96896
560	29370.86921
561	29364.58024
562	29343.41052
563	29334.32988
564	29332.26541
565	29322.46842
566	29303.03838
567	29296.52969
568	29280.40793
569	29272.7447
570	29259.91209
571	29257.48326
572	29248.14328
573	29235.05304
574	29220.13783
575	29203.40439
576	29186.03924
577	29164.57182
578	29156.32908
579	29155.2822
580	29138.74115
581	29136.96906
582	29123.81392
583	29122.78916
584	29108.75043
585	29104.34057
586	29096.20033
587	29092.056
588	29081.19958
589	29071.69706
590	29058.64435
591	29046.08931
592	29045.08691
593	29028.36885
594	29017.22893
595	29016.17816
596	28998.82542
597	28992.62195
598	28983.27275
599	28964.2484
600	28952.65134
601	28946.46073
602	28938.51493
603	28924.37717
604	28908.94517
605	28896.62643
606	28884.9882
607	28858.40061
608	28844.87406
609	28824.36634
610	28808.29645
611	28794.98955
612	28781.41418
613	28768.88667
614	28767.87358
615	28752.64898
616	28742.5538
617	28728.36591
618	28706.22839
619	28705.88063
620	28682.68102
621	28681.79083
622	28668.84865
623	28659.82607
624	28659.62803
625	28643.94656
626	28639.96299
627	28628.21677
628	28618.27208
629	28607.47408
630	28586.79438
631	28577.13543
632	28576.29327
633	28562.1592
634	28559.12266
635	28553.32313
636	28546.75881
637	28542.68478
638	28533.89686
639	28527.81581
640	28512.90817
641	28511.86051
642	28504.02979
643	28496.81554
644	28491.35832
645	28474.86194
646	28474.05623
647	28458.09988
648	28447.42823
649	28442.13137
650	28424.7512
651	28409.75456
652	28402.72959
653	28391.69437
654	28385.05192
655	28375.08548
656	28374.32544
657	28363.83788
658	28348.82859
659	28340.33067
660	28338.43612
661	28326.20772
662	28310.03481
663	28298.09204
664	28291.51306
665	28290.82658
666	28282.47866
667	28271.2362
668	28270.71215
669	28267.08143
670	28263.45403
671	28257.08866
672	28247.47656
673	28237.01742
674	28229.00498
675	28207.13251
676	28196.82618
677	28187.73805
678	28181.16293
679	28180.76847
680	28175.72337
681	28155.72052
682	28134.62129
683	28125.17658
684	28116.74506
685	28110.10702
686	28101.71798
687	28094.09747
688	28087.37853
689	28080.0138
690	28079.36848
691	28063.98094
692	28057.06024
693	28047.84857
694	28036.07607
695	28031.08015
696	28026.65259
697	28011.95408
